CODIGO_ACTIVIDAD,ANIO,H000B,H000C,H011B,H011C,H011D,H012B,H012C,H012D,H300B,H300C,H300D,H010B,H010C,H000D,I000B,I000C,I000D,I100B,I100C,I100D,I200B,I200C,I200D,H000E,H000F,I000E,I000F,J000A,J000B,J000C,J010A,J200A,J300A,J400A,J500A,J600A,K411A_K421A,K950A,K100A,K200A,K412A,K530A_K531A,K590A,K610A,K620A,K630A,K810A,K820A,K833A,K500A,K050A_K800A,K060A,K964A,K931A,K999A,M210A,M220A,M230A,M530A_M531A,M590A,M050A_M633A,M999A,M200A,M500A,M100A,M931A,Q100A,Q200A,Q300A,Q400A,Q900A,ESTATUS
4883,2021,11101,2101,,,,,,,17,11,0,11084,2090,0,496,137,0,483,136,0,13,1,0,,,,,3556268,,,,,,,,,658129,,34846,2852101,178826,,,183355,48283,,23196,103301,,776655,,,,96810,4587143,,,,,,,3010515,25108193,630545,21395,0,15592467,15338751,360498,513057,1385626,Cifras definitivas
4884,2021,6317,5103,,,,,,,17,5,0,6300,5098,0,2583,1313,0,2545,1301,0,38,12,0,,,,,1739998,,,,,,,,,82918,,199457,5258183,110259,,,632484,19133,,7652,27840,,44113,,,,6815,1839089,,,,,,,282476,25122784,36929,194330,0,17801787,1030219,133166,45417,86247,Cifras definitivas
4885,2021,141472,84142,,,,,,,668,27,0,140804,84115,0,15151,10879,0,13213,9349,0,1938,1530,0,,,,,46219574,,,,,,,,,5115909,,130215,302305385,1176031,,,4470649,1404323,,727537,1967909,,10342134,,,,285607,49101635,,,,,,,8094746,507394012,467045,42628,222,146340924,54336371,10777441,56836286,22591600,Cifras definitivas
4921,2021,21285,5238,19023,3852,57168,2253,1380,8823,9,6,40,,,66031,3170,442,9688,3092,400,9396,78,42,292,,,,,6472069,,,4901727,690689,426988,384468,68197,18627,1682465,737479,,304603,71205,1245725,350411,429203,15140,91984,142827,167603,176139,,31681,456233,108,,14560234,0,841288,39466587,1233,311,123,581627,,,,,4635133,1016999,527980,1500878,914230,Cifras definitivas
4931,2021,32147,18303,,,,,,,0,40,0,32147,18263,0,4163,1879,0,3859,1836,0,305,43,0,,,,,9892533,,,,,,,,,384769,,658543,5673494,946802,,,1148221,204279,,24188,255721,,8374500,,,,8765,11281576,,,,,,,14948060,42422737,568364,817937,0,21251272,36042115,3148946,2728754,1502040,Cifras definitivas
4811,2022,17071,12412,,,,,,,,,,,,64919,604,500,3176,,,,,,,36855,28064,1740,1436,16989415,9717079,7272336,,,,,,,76826395,6886444,,3576479,14015,5487053,320349,814620,1426,,361871,721146,18446505,,1066,258308,,,24550978,162761135,10958305,6817,0,0,0,17809775,,,,,18555857,417131,42902,63442,1924463,Cifras definitivas
4812,2022,1666,382,,,,,,,,,,,,5226,769,246,2670,,,,,,,4095,1131,2032,638,1449284,1123334,325950,,,,,,,1942681,1566261,,16914,7832,427522,248518,137651,21255,,30141,41503,114236,,18618,143119,,,1524702,12096975,3533867,0,120745,0,0,989528,,,,,19804187,610806,318052,154922,271729,Cifras definitivas
4821,2022,13303,669,,,,,,,,,,,,38353,45,26,194,,,,,,,36566,1787,121,73,9541364,9060863,480501,,,,,,,12918315,2959164,,2835098,114827,6021826,202049,20008,877,,36586,142021,72547,,14236,711728,,,7618074,207242,76730700,0,55489,7301,122082,2054408,,,,,14156634,20890825,1389180,1724122,45285034,Cifras definitivas
4841,2022,144825,23224,,,,,,,,,,,,421230,3612,915,10086,,,,,,,360780,60450,8151,1935,33484642,28149138,5335504,,,,,,,57242587,16027826,,1244267,356187,7384225,2658268,757913,190715,,137442,855750,15236917,,430411,4387297,,,14498357,0,227695470,13832,2530591,98329,3168989,3228464,,,,,152276279,10008040,3705469,7967219,3236679,Cifras definitivas
4842,2022,87531,14216,,,,,,,,,,,,252728,9035,1286,23711,,,,,,,215394,37334,20618,3093,22939376,19025372,3914004,,,,,,,50000519,12890540,,951394,218837,14059598,1383096,3496111,357468,,88640,567989,10205780,,221669,2901548,,,13834454,0,159037220,0,486812,334125,314076,2187973,,,,,115852546,7460811,5088376,4047507,4291448,Cifras definitivas
